"","Date","cuts","Day","Weekend","Workday","Location","CounterID","Holiday","Likely.abnormal","OPM.Closure","Other.events","Total","PedIN","PedOUT","BikeIN","BikeOUT","PedTOTAL","BikeTOTAL","TotalOUT","TotalIN"
"32",2011-01-17,"[0,0.292)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",13,NA,NA,NA,NA,9,4,NA,NA
"33",2011-02-21,"[0,0.292)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",17,NA,NA,NA,NA,7,10,NA,NA
"34",2011-05-30,"[0,0.292)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",53,NA,NA,NA,NA,14,39,NA,NA
"35",2011-07-04,"[0,0.292)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",32,NA,NA,NA,NA,12,20,NA,NA
"36",2011-09-05,"[0,0.292)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",27,NA,NA,NA,NA,12,15,NA,NA
"37",2011-10-10,"[0,0.292)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",29,NA,NA,NA,NA,17,12,NA,NA
"38",2011-12-26,"[0,0.292)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",8,NA,NA,NA,NA,6,2,NA,NA
"39",2012-01-02,"[0,0.292)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",7,NA,NA,NA,NA,3,4,NA,NA
"40",2012-01-16,"[0,0.292)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",11,NA,NA,NA,NA,6,5,NA,NA
"41",2012-02-20,"[0,0.292)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",20,NA,NA,NA,NA,11,9,NA,NA
"42",2012-05-28,"[0,0.292)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",23,NA,NA,NA,NA,10,13,NA,NA
"43",2012-09-03,"[0,0.292)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",35,NA,NA,NA,NA,16,19,NA,NA
"44",2012-10-08,"[0,0.292)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",31,NA,NA,NA,NA,9,22,NA,NA
"45",2012-11-12,"[0,0.292)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",40,NA,NA,NA,NA,10,30,NA,NA
"46",2013-01-21,"[0,0.292)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",19,NA,NA,NA,NA,7,12,NA,NA
"47",2013-02-18,"[0,0.292)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",14,NA,NA,NA,NA,8,6,NA,NA
"48",2013-05-27,"[0,0.292)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",26,NA,NA,NA,NA,13,13,NA,NA
"49",2013-09-02,"[0,0.292)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",37,NA,NA,NA,NA,15,22,NA,NA
"50",2013-11-11,"[0,0.292)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",50,NA,NA,NA,NA,27,23,NA,NA
"51",2010-01-18,"[0.292,0.417)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",137,NA,NA,NA,NA,73,64,NA,NA
"52",2010-02-15,"[0.292,0.417)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",6,NA,NA,NA,NA,6,0,NA,NA
"53",2010-05-31,"[0.292,0.417)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",400,NA,NA,NA,NA,92,308,NA,NA
"54",2010-07-05,"[0.292,0.417)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",333,NA,NA,NA,NA,75,258,NA,NA
"55",2010-09-06,"[0.292,0.417)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",393,NA,NA,NA,NA,128,265,NA,NA
"56",2010-10-11,"[0.292,0.417)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",393,NA,NA,NA,NA,98,295,NA,NA
"57",2011-01-17,"[0.292,0.417)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",99,NA,NA,NA,NA,47,52,NA,NA
"58",2011-02-21,"[0.292,0.417)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",107,NA,NA,NA,NA,44,63,NA,NA
"59",2011-05-30,"[0.292,0.417)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",414,NA,NA,NA,NA,66,348,NA,NA
"60",2011-07-04,"[0.292,0.417)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",340,NA,NA,NA,NA,76,264,NA,NA
"61",2011-09-05,"[0.292,0.417)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",277,NA,NA,NA,NA,45,232,NA,NA
"62",2011-10-10,"[0.292,0.417)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",327,NA,NA,NA,NA,79,248,NA,NA
"63",2011-12-26,"[0.292,0.417)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",23,NA,NA,NA,NA,13,10,NA,NA
"64",2012-01-02,"[0.292,0.417)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",84,NA,NA,NA,NA,44,40,NA,NA
"65",2012-01-16,"[0.292,0.417)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",96,NA,NA,NA,NA,60,36,NA,NA
"66",2012-02-20,"[0.292,0.417)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",107,NA,NA,NA,NA,42,65,NA,NA
"67",2012-05-28,"[0.292,0.417)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",375,NA,NA,NA,NA,71,304,NA,NA
"68",2012-09-03,"[0.292,0.417)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",255,NA,NA,NA,NA,69,186,NA,NA
"69",2012-10-08,"[0.292,0.417)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",208,NA,NA,NA,NA,24,184,NA,NA
"70",2012-11-12,"[0.292,0.417)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",291,NA,NA,NA,NA,33,258,NA,NA
"71",2013-01-21,"[0.292,0.417)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",126,NA,NA,NA,NA,45,81,NA,NA
"72",2013-02-18,"[0.292,0.417)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",99,NA,NA,NA,NA,44,55,NA,NA
"73",2013-05-27,"[0.292,0.417)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",306,NA,NA,NA,NA,85,221,NA,NA
"74",2013-09-02,"[0.292,0.417)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",394,NA,NA,NA,NA,97,297,NA,NA
"75",2013-11-11,"[0.292,0.417)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",380,NA,NA,NA,NA,85,295,NA,NA
"76",2010-01-18,"[0.417,0.667)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",734,NA,NA,NA,NA,311,423,NA,NA
"77",2010-02-15,"[0.417,0.667)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",10,NA,NA,NA,NA,10,0,NA,NA
"78",2010-05-31,"[0.417,0.667)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",1038,NA,NA,NA,NA,254,784,NA,NA
"79",2010-07-05,"[0.417,0.667)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",585,NA,NA,NA,NA,102,483,NA,NA
"80",2010-09-06,"[0.417,0.667)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",1117,NA,NA,NA,NA,213,904,NA,NA
"81",2010-10-11,"[0.417,0.667)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",774,NA,NA,NA,NA,181,593,NA,NA
"82",2011-01-17,"[0.417,0.667)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",250,NA,NA,NA,NA,139,111,NA,NA
"83",2011-02-21,"[0.417,0.667)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",246,NA,NA,NA,NA,132,114,NA,NA
"84",2011-05-30,"[0.417,0.667)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",917,NA,NA,NA,NA,212,705,NA,NA
"85",2011-07-04,"[0.417,0.667)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",992,NA,NA,NA,NA,246,746,NA,NA
"86",2011-09-05,"[0.417,0.667)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",811,NA,NA,NA,NA,204,607,NA,NA
"87",2011-10-10,"[0.417,0.667)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",776,NA,NA,NA,NA,154,622,NA,NA
"88",2011-12-26,"[0.417,0.667)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",290,NA,NA,NA,NA,128,162,NA,NA
"89",2012-01-02,"[0.417,0.667)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",323,NA,NA,NA,NA,201,122,NA,NA
"90",2012-01-16,"[0.417,0.667)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",337,NA,NA,NA,NA,188,149,NA,NA
"91",2012-02-20,"[0.417,0.667)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",490,NA,NA,NA,NA,249,241,NA,NA
"92",2012-05-28,"[0.417,0.667)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",1148,NA,NA,NA,NA,205,943,NA,NA
"93",2012-09-03,"[0.417,0.667)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",938,NA,NA,NA,NA,181,757,NA,NA
"94",2012-10-08,"[0.417,0.667)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",361,NA,NA,NA,NA,102,259,NA,NA
"95",2012-11-12,"[0.417,0.667)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",648,NA,NA,NA,NA,177,471,NA,NA
"96",2013-01-21,"[0.417,0.667)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",539,NA,NA,NA,NA,200,339,NA,NA
"97",2013-02-18,"[0.417,0.667)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",366,NA,NA,NA,NA,205,161,NA,NA
"98",2013-05-27,"[0.417,0.667)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",1360,NA,NA,NA,NA,264,1096,NA,NA
"99",2013-09-02,"[0.417,0.667)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",1033,NA,NA,NA,NA,221,812,NA,NA
"100",2013-11-11,"[0.417,0.667)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",550,NA,NA,NA,NA,168,382,NA,NA
"101",2010-01-18,"[0.667,0.792)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",243,NA,NA,NA,NA,118,125,NA,NA
"102",2010-02-15,"[0.667,0.792)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",4,NA,NA,NA,NA,4,0,NA,NA
"103",2010-05-31,"[0.667,0.792)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",305,NA,NA,NA,NA,88,217,NA,NA
"104",2010-07-05,"[0.667,0.792)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",208,NA,NA,NA,NA,58,150,NA,NA
"105",2010-09-06,"[0.667,0.792)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",440,NA,NA,NA,NA,122,318,NA,NA
"106",2010-10-11,"[0.667,0.792)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",591,NA,NA,NA,NA,136,455,NA,NA
"107",2011-01-17,"[0.667,0.792)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",103,NA,NA,NA,NA,59,44,NA,NA
"108",2011-02-21,"[0.667,0.792)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",93,NA,NA,NA,NA,49,44,NA,NA
"109",2011-05-30,"[0.667,0.792)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",245,NA,NA,NA,NA,35,210,NA,NA
"110",2011-07-04,"[0.667,0.792)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",302,NA,NA,NA,NA,42,260,NA,NA
"111",2011-09-05,"[0.667,0.792)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",141,NA,NA,NA,NA,41,100,NA,NA
"112",2011-10-10,"[0.667,0.792)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",530,NA,NA,NA,NA,108,422,NA,NA
"113",2011-12-26,"[0.667,0.792)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",140,NA,NA,NA,NA,80,60,NA,NA
"114",2012-01-02,"[0.667,0.792)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",84,NA,NA,NA,NA,38,46,NA,NA
"115",2012-01-16,"[0.667,0.792)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",113,NA,NA,NA,NA,63,50,NA,NA
"116",2012-02-20,"[0.667,0.792)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",267,NA,NA,NA,NA,131,136,NA,NA
"117",2012-05-28,"[0.667,0.792)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",254,NA,NA,NA,NA,38,216,NA,NA
"118",2012-09-03,"[0.667,0.792)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",289,NA,NA,NA,NA,42,247,NA,NA
"119",2012-10-08,"[0.667,0.792)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",262,NA,NA,NA,NA,51,211,NA,NA
"120",2012-11-12,"[0.667,0.792)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",452,NA,NA,NA,NA,86,366,NA,NA
"121",2013-01-21,"[0.667,0.792)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",176,NA,NA,NA,NA,88,88,NA,NA
"122",2013-02-18,"[0.667,0.792)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",184,NA,NA,NA,NA,88,96,NA,NA
"123",2013-05-27,"[0.667,0.792)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",405,NA,NA,NA,NA,99,306,NA,NA
"124",2013-09-02,"[0.667,0.792)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",277,NA,NA,NA,NA,46,231,NA,NA
"125",2013-11-11,"[0.667,0.792)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",344,NA,NA,NA,NA,93,251,NA,NA
"126",2010-01-18,"[0.792,1)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",40,NA,NA,NA,NA,20,20,NA,NA
"127",2010-02-15,"[0.792,1)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",1,NA,NA,NA,NA,1,0,NA,NA
"128",2010-05-31,"[0.792,1)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",162,NA,NA,NA,NA,70,92,NA,NA
"129",2010-07-05,"[0.792,1)","Monday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",167,NA,NA,NA,NA,57,110,NA,NA
