Date,Holiday,Likely abnormal,OPM Closure,Other events
09/12/2013,,,Delayed Arrival/Unscheduled Leave,snow
10/12/2013,,,Closed,snow
21/12/2013,,TRUE,,
22/12/2013,,TRUE,,
23/12/2013,,TRUE,,
24/12/2013,,TRUE,,
25/12/2013,TRUE,,,
26/12/2013,,TRUE,,
27/12/2013,,TRUE,,
28/12/2013,,TRUE,,
29/12/2013,,TRUE,,
30/12/2013,,TRUE,,
31/12/2013,,TRUE,,
01/01/2014,TRUE,,,
02/01/2014,,TRUE,,
03/01/2014,,TRUE,,
20/01/2014,TRUE,,,
21/01/2014,,,Closed,
22/01/2014,,,Delayed Arrival/Unscheduled Leave,
05/02/2014,,,Unscheduled Leave,
13/02/2014,,,Closed,
14/02/2014,,,Delayed Arrival/Unscheduled Leave,
17/02/2014,TRUE,,,
26/02/2014,,,Unscheduled Leave,
03/03/2014,,,Closed,
04/03/2014,,,Delayed Arrival/Unscheduled Leave,
17/03/2014,,,Closed,
26/05/2014,TRUE,,,
04/07/2014,TRUE,,,
01/09/2014,TRUE,,,
13/10/2014,TRUE,,,
11/11/2014,TRUE,,,
22/11/2014,,TRUE,,
23/11/2014,,TRUE,,
24/11/2014,,TRUE,,
25/11/2014,,TRUE,,
26/11/2014,,TRUE,,
27/11/2014,TRUE,,,
28/11/2014,,TRUE,,
29/11/2014,,TRUE,,
30/11/2014,,TRUE,,
25/12/2014,TRUE,,,
